Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Oct 05  19:17    /ix_dat1/ix_dat1.7                                
informix       976.56M  Oct 05  19:17    /ix_dat1/ix_dat1.8                                
informix       976.56M  Oct 06  00:41    /ix_dat1/ix_dat1.9                                
informix       976.56M  Oct 05  22:34    /ix_dat2/ix_dat2.1                                
informix       976.56M  Oct 05  18:57    /ix_dat2/ix_dat2.10                               
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.11                               
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.12                               
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.13                               
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.14                               
informix       976.56M  Oct 05  19:17    /ix_dat2/ix_dat2.15                               
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.16                               
informix       976.56M  Oct 05  18:46    /ix_dat2/ix_dat2.17                               
informix       976.56M  Oct 05  22:34    /ix_dat2/ix_dat2.18                               
informix       976.56M  Oct 05  21:04    /ix_dat2/ix_dat2.19                               
informix       976.56M  Oct 05  20:54    /ix_dat2/ix_dat2.2                                
informix       976.56M  Nov 16  2013     /ix_dat2/ix_dat2.20                               
informix       976.56M  Oct 05  18:07    /ix_dat2/ix_dat2.21                               
informix       976.56M  Nov 16  2013     /ix_dat2/ix_dat2.22                               
informix       976.56M  Nov 16  2013     /ix_dat2/ix_dat2.23                               
informix       976.56M  Nov 16  2013     /ix_dat2/ix_dat2.24                               
informix       976.56M  Oct 03  09:47    /ix_dat2/ix_dat2.25                               
informix       976.56M  Oct 05  22:34    /ix_dat2/ix_dat2.3                                
informix       976.56M  Oct 05  21:04    /ix_dat2/ix_dat2.4                                
informix       976.56M  Oct 05  22:34    /ix_dat2/ix_dat2.5                                
informix       976.56M  Oct 05  20:45    /ix_dat2/ix_dat2.6                                
informix       976.56M  Oct 05  20:54    /ix_dat2/ix_dat2.7                                
informix       976.56M  Oct 05  20:54    /ix_dat2/ix_dat2.8                                
informix       976.56M  Oct 05  18:57    /ix_dat2/ix_dat2.9                                
informix       976.56M  Oct 05  20:54    /ix_dat3/ix_dat3.1                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.10                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.11                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.12                               
informix       976.56M  Oct 05  20:54    /ix_dat3/ix_dat3.13                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.14                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.15                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.16                               
informix       976.56M  Oct 05  20:54    /ix_dat3/ix_dat3.17                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.18                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.19                               
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.2                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.20                               
informix       976.56M  Oct 05  20:54    /ix_dat3/ix_dat3.3                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.4                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.5                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.6                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.7                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.8                                
informix       976.56M  Oct 05  20:45    /ix_dat3/ix_dat3.9                                
informix       976.56M  Oct 06  00:21    /ix_idx1/ix_idx1.1                                
informix       976.56M  Oct 05  22:34    /ix_idx1/ix_idx1.2                                
informix       976.56M  Oct 06  00:41    /ix_idx1/ix_idx1.3                                
informix       976.56M  Oct 05  22:34    /ix_idx1/ix_idx1.4                                
informix       976.56M  Oct 06  00:41    /ix_idx1/ix_idx1.5                                
informix       976.56M  Oct 06  00:31    /ix_idx1/ix_idx1.6                                
informix       976.56M  Nov 16  2013     /ix_idx1/ix_idx1.7                                
